epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
146,2430.53,1.00258,0.53603,0.92024,0.56699,0.56606,0.53575,0.32491,1.3614,1.01868,1.18362,0.00101873,0.00101873,0.00101873
147,2447.1,0.9953,0.53354,0.91373,0.58235,0.5945,0.53454,0.30745,1.41898,1.0852,1.20126,0.0010159,0.0010159,0.0010159
148,2463.58,0.99194,0.53656,0.91704,0.24728,0.21432,0.21586,0.11344,2.1217,inf,1.75384,0.00101308,0.00101308,0.00101308
149,2480.13,1.00112,0.53554,0.91827,0.61433,0.63183,0.59396,0.38309,1.19052,0.86258,1.00414,0.00101025,0.00101025,0.00101025
150,2496.51,1.01424,0.54022,0.92202,0.13462,0.0223,0.07282,0.04592,3.519,7.03826,2.65727,0.00100742,0.00100742,0.00100742
151,20.1546,1.23771,0.80044,1.0464,0,0,0,0,nan,nan,nan,0.00100459,0.00100459,0.00100459
152,36.9364,1.15851,0.70379,0.97806,0,0,0,0,nan,nan,nan,0.00100176,0.00100176,0.00100176
153,53.6046,1.1312,0.66591,0.96505,0.45854,0.49618,0.39108,0.1935,1.97243,1.68245,1.31871,0.000998928,0.000998928,0.000998928
154,70.235,1.10205,0.62683,0.95167,0.65642,0.83284,0.7287,0.46283,1.19246,0.68432,0.97886,0.000996099,0.000996099,0.000996099
155,86.9022,1.09158,0.63437,0.95292,0.70819,0.83076,0.74203,0.4623,1.22155,0.65716,0.9853,0.000993269,0.000993269,0.000993269
156,103.503,1.09982,0.63137,0.95123,0.7235,0.8617,0.7934,0.52343,1.13616,0.61933,0.95204,0.00099044,0.00099044,0.00099044
157,120.208,1.06492,0.60967,0.94218,0.80096,0.86475,0.82892,0.55393,1.10556,0.5987,0.94164,0.00098761,0.00098761,0.00098761
158,137.093,1.07494,0.60484,0.94248,0.49303,0.41768,0.40201,0.22139,1.72178,1.55062,1.62896,0.000984781,0.000984781,0.000984781
159,153.642,1.06164,0.59177,0.94098,0.76213,0.8468,0.82654,0.54795,1.12443,0.60834,0.95617,0.000981952,0.000981952,0.000981952
160,170.279,1.06299,0.59254,0.9392,0.61476,0.57775,0.56794,0.32336,1.41506,0.94618,1.09197,0.000979122,0.000979122,0.000979122
161,186.817,1.06172,0.58581,0.93452,0.1453,0.07708,0.08742,0.04823,3.20891,inf,2.67862,0.000976293,0.000976293,0.000976293
162,203.36,1.03979,0.56665,0.93213,0.78636,0.88348,0.85511,0.57353,1.09566,0.57917,0.93612,0.000973463,0.000973463,0.000973463
163,17.5696,1.09657,0.63724,0.95676,0.50691,0.44992,0.44495,0.22254,1.774,1.49063,1.53848,0.000970634,0.000970634,0.000970634
164,34.3203,1.07643,0.61454,0.94354,0.64155,0.82043,0.68547,0.43496,1.20543,0.65955,0.98738,0.000967805,0.000967805,0.000967805
165,51.0046,1.063,0.59781,0.94045,0.58682,0.62025,0.5998,0.37759,1.23825,0.78037,1.00503,0.000964975,0.000964975,0.000964975
166,67.6489,1.04451,0.57517,0.93279,0.68278,0.67133,0.64709,0.38704,1.26593,0.79834,1.03528,0.000962146,0.000962146,0.000962146
167,84.2657,1.0392,0.58177,0.93318,0.74665,0.8931,0.80832,0.53722,1.11035,0.59134,0.94049,0.000959316,0.000959316,0.000959316
168,100.831,1.04647,0.57757,0.93312,0.66144,0.63671,0.62133,0.38047,1.28038,0.97867,1.07254,0.000956487,0.000956487,0.000956487
169,117.44,1.01855,0.56036,0.92484,0.74787,0.76932,0.72065,0.44556,1.16228,0.67831,0.97646,0.000953657,0.000953657,0.000953657
170,133.969,1.03083,0.5628,0.92736,0.20557,0.21343,0.18209,0.09057,2.50474,3.93608,2.06571,0.000950828,0.000950828,0.000950828
171,150.511,1.02563,0.55957,0.92398,0.37593,0.15878,0.18973,0.0969,2.40969,inf,2.25418,0.000947999,0.000947999,0.000947999
172,17.5525,1.06509,0.59612,0.93908,0.63404,0.59147,0.62586,0.34933,1.45904,0.948,1.11899,0.000945169,0.000945169,0.000945169
173,34.2865,1.04743,0.5864,0.92925,0.58123,0.6519,0.58728,0.34259,1.34188,0.87804,1.08443,0.00094234,0.00094234,0.00094234
174,51.0053,1.03095,0.56524,0.92771,0.52223,0.38823,0.43008,0.24144,1.64891,1.79961,1.24929,0.00093951,0.00093951,0.00093951
175,67.7714,1.01672,0.54918,0.92307,0.72049,0.80946,0.73952,0.45891,1.1764,0.63497,0.97201,0.000936681,0.000936681,0.000936681
176,84.401,1.00666,0.55471,0.92285,0.69426,0.77798,0.68326,0.43052,1.20485,0.69919,1.00201,0.000933851,0.000933851,0.000933851
177,100.984,1.02124,0.55488,0.924,0.74656,0.82725,0.78823,0.51435,1.13727,0.63894,0.95973,0.000931022,0.000931022,0.000931022
178,117.621,0.99447,0.53849,0.91668,0.57788,0.52517,0.53103,0.32536,1.35604,1.03625,1.11499,0.000928193,0.000928193,0.000928193
179,134.215,1.00145,0.53629,0.91566,0.51689,0.42424,0.42988,0.24735,1.63241,1.48139,1.3741,0.000925363,0.000925363,0.000925363
